user_id,movie_id,timestamp,rating,title,genre
1,14,2020-10-28 17:23:04,0.9,Movie 14,Action
1,49,2022-05-24 01:42:51,1.1,Movie 49,Horror
1,12,2024-11-21 13:50:55,2.9,Movie 12,Comedy
1,23,2024-03-07 19:06:52,1.2,Movie 23,Drama
1,39,2023-05-19 03:20:59,2.0,Movie 39,Drama
1,35,2023-07-11 02:11:00,1.7,Movie 35,Comedy
1,8,2021-03-17 23:50:02,1.9,Movie 8,Horror
1,27,2022-08-05 03:27:15,1.9,Movie 27,Horror
1,15,2024-06-07 02:02:14,,Movie 15,Comedy
1,30,2021-01-10 08:01:44,3.5,Movie 30,Comedy
1,32,2021-07-28 17:22:24,3.7,Movie 32,Sci-Fi
1,22,2024-06-26 16:28:15,2.8,Movie 22,Drama
1,6,2023-08-13 21:51:58,4.2,Movie 6,Sci-Fi
1,40,2022-07-15 23:58:15,1.8,Movie 40,Horror
1,20,2020-09-04 22:15:55,4.7,Movie 20,Sci-Fi
1,5,2023-07-24 21:28:43,,Movie 5,Horror
1,11,2020-07-20 19:57:56,0.8,Movie 11,Drama
1,34,2022-11-29 00:08:41,0.8,Movie 34,Action
1,10,2020-03-29 17:51:54,1.9,Movie 10,Comedy
1,17,2021-09-26 19:06:37,3.4,Movie 17,Horror
1,33,2021-07-18 14:22:48,4.3,Movie 33,Drama
1,26,2023-10-05 12:51:00,2.7,Movie 26,Sci-Fi
1,47,2021-03-09 20:54:18,3.7,Movie 47,Horror
1,25,2021-08-16 05:36:39,3.8,Movie 25,Drama
1,21,2022-03-17 05:18:31,2.4,Movie 21,Horror
1,31,2020-06-30 16:35:04,3.1,Movie 31,Horror
2,10,2022-09-03 19:45:25,,Movie 10,Comedy
2,30,2020-04-07 05:41:15,1.4,Movie 30,Comedy
2,1,2022-10-04 02:43:08,3.9,Movie 1,Drama
2,41,2024-01-19 10:59:54,1.5,Movie 41,Action
2,32,2022-08-30 15:06:14,4.3,Movie 32,Sci-Fi
2,17,2023-05-23 09:26:52,1.1,Movie 17,Horror
2,27,2021-06-27 20:52:41,4.3,Movie 27,Horror
2,16,2022-03-06 07:09:04,2.8,Movie 16,Sci-Fi
2,20,2023-06-15 18:12:16,2.4,Movie 20,Sci-Fi
2,49,2023-05-17 23:13:01,0.5,Movie 49,Horror
2,45,2022-01-03 14:14:46,3.7,Movie 45,Action
2,37,2023-01-31 01:07:24,2.6,Movie 37,Drama
2,8,2021-11-17 10:59:01,2.4,Movie 8,Horror
2,28,2024-06-14 09:56:14,,Movie 28,Horror
2,12,2024-10-24 16:26:48,1.4,Movie 12,Comedy
2,42,2020-04-17 04:52:41,1.6,Movie 42,Sci-Fi
2,31,2021-11-07 12:40:32,3.1,Movie 31,Horror
2,50,2023-09-05 06:24:26,0.9,Movie 50,Comedy
2,18,2024-08-13 03:19:19,2.6,Movie 18,Action
2,7,2020-04-08 09:26:46,2.5,Movie 7,Drama
2,34,2020-12-31 15:05:36,0.8,Movie 34,Action
2,3,2023-05-10 07:45:40,4.8,Movie 3,Drama
